File Name,File Path,Sheets
MSE Data Fanta Productivity Reformulation France May_Jun_24.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\MSE Data Fanta Productivity Reformulation France May_Jun_24.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
MSE Data Fanta Productivity Reformulation Greece May_24.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\MSE Data Fanta Productivity Reformulation Greece May_24.xlsb,"['Raw Data', 'Decoder', 'Additional MSE data']"
P318455 CCC Fanta Aquarius Prototype Screener FRANCE Full Data File with Key.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P318455 CCC Fanta Aquarius Prototype Screener FRANCE Full Data File with Key.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P323934 CCC Fanta Prototype Screening Germany 2024 - Full Data File with Key FINAL v3.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P323934 CCC Fanta Prototype Screening Germany 2024 - Full Data File with Key FINAL v3.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P325206 TCCC Lemon Fanta reformulation testing Europe - Full Data File with Key - Final.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P325206 TCCC Lemon Fanta reformulation testing Europe - Full Data File with Key - Final.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P326208 CCC Fanta Orange Regular testing EU 2024 BELGIUM - Full Data File with Key v2.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 BELGIUM - Full Data File with Key v2.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P326208 CCC Fanta Orange Regular testing EU 2024 NETHERLANDS - Full Data File with Key FINAL.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 NETHERLANDS - Full Data File with Key FINAL.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P326208 CCC Fanta Orange Regular testing EU 2024 NETHERLANDS - Full Data File with Key.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 NETHERLANDS - Full Data File with Key.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P326208 CCC Fanta Orange Regular testing EU 2024 POLAND - Full Data File with Key FINAL.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 POLAND - Full Data File with Key FINAL.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
P326208 CCC Fanta Orange Regular testing EU 2024 ROMANIA - Full Data File with Key FINAL.xlsb,C:\Legacy Files\all_files\For TCS\EMEA\Brussels TCR (Swetlana)\P326208 CCC Fanta Orange Regular testing EU 2024 ROMANIA - Full Data File with Key FINAL.xlsb,"['Raw Data', 'Consumer Info', 'Category Frequency', 'Sample Rotation Achieved', 'Tests Missed', 'Key_Decoder', 'Additional data for NDB']"
